name;run.no.in.std.order;run.no;run.no.std.rp;Algorithm;DeckArrange;Program;MemPages;time;log10time
1;27;1;27;LRUV;ALPHA;Small;20P;536;2,72916
2;33;2;33;FIFO;ALPHA;Small;16P;85;1,92942
3;78;3;78;RAND;FREQY;Large;16P;517;2,71349
4;2;4;2;RAND;ALPHA;Large;24P;23134;4,36425
5;39;5;39;LRUV;FREQY;Large;16P;262;2,4183
6;23;6;23;FIFO;FREQY;Large;20P;3688;3,56679
7;15;7;15;FIFO;ALPHA;Medium;20P;3394;3,53071
8;36;8;36;LRUV;GROUP;Medium;16P;53;1,72428
9;19;9;19;FIFO;ALPHA;Medium;24P;5838;3,76626
10;13;10;13;LRUV;ALPHA;Medium;24P;4639;3,66642
11;61;11;61;LRUV;GROUP;Small;24P;538;2,73078
12;4;12;4;FIFO;FREQY;Large;24P;13531;4,13133
13;65;13;65;RAND;GROUP;Medium;24P;2807;3,44824
14;50;14;50;RAND;FREQY;Large;20P;4870;3,68753
15;3;15;3;RAND;FREQY;Medium;24P;6007;3,77866
16;29;16;29;FIFO;ALPHA;Large;16P;1633;3,21299
17;25;17;25;RAND;GROUP;Small;20P;100;2
18;46;18;46;FIFO;FREQY;Small;20P;390;2,59106
19;54;19;54;FIFO;ALPHA;Large;20P;10022;4,00095
20;60;20;60;RAND;FREQY;Medium;20P;1502;3,17667
21;79;21;79;RAND;ALPHA;Medium;20P;3092;3,49024
22;10;22;10;RAND;GROUP;Medium;16P;96;1,98227
23;20;23;20;FIFO;GROUP;Medium;20P;134;2,1271
24;80;24;80;LRUV;GROUP;Large;20P;197;2,29447
25;56;25;56;FIFO;FREQY;Medium;16P;164;2,21484
26;18;26;18;FIFO;GROUP;Small;16P;49;1,6902
27;22;27;22;LRUV;FREQY;Small;16P;52;1,716
28;67;28;67;RAND;ALPHA;Medium;16P;286;2,45637
29;44;29;44;LRUV;FREQY;Medium;20P;776;2,88986
30;70;30;70;RAND;ALPHA;Large;20P;8834;3,94616
31;31;31;31;LRUV;ALPHA;Large;16P;980;2,99123
32;9;32;9;RAND;GROUP;Large;16P;265;2,42325
33;48;33;48;FIFO;GROUP;Large;24P;9100;3,95904
34;58;34;58;RAND;ALPHA;Small;16P;111;2,04532
35;49;35;49;FIFO;GROUP;Large;16P;233;2,36736
36;62;36;62;FIFO;ALPHA;Small;24P;1693;3,22866
37;14;37;14;LRUV;FREQY;Large;24P;10012;4,00052
38;21;38;21;RAND;FREQY;Small;16P;111;2,04532
39;30;39;30;LRUV;ALPHA;Medium;16P;121;2,08279
40;42;40;42;RAND;FREQY;Small;24P;1782;3,25091
