"name";"run.no.in.std.order";"run.no";"run.no.std.rp";"Algorithm";"DeckArrange";"Program";"MemPages"
"1";"33";1;"33";"RAND";"FREQY";"Small";"20P"
"2";"27";2;"27";"RAND";"ALPHA";"Large";"24P"
"3";"15";3;"15";"RAND";"FREQY";"Medium";"24P"
"4";"23";4;"23";"FIFO";"FREQY";"Large";"24P"
"5";"39";5;"39";"RAND";"GROUP";"Medium";"20P"
"6";"36";6;"36";"RAND";"ALPHA";"Small";"20P"
"7";"37";7;"37";"LRUV";"GROUP";"Medium";"20P"
"8";"69";8;"69";"RAND";"FREQY";"Medium";"16P"
"9";"75";9;"75";"RAND";"GROUP";"Large";"16P"
"10";"66";10;"66";"RAND";"GROUP";"Medium";"16P"
"11";"67";11;"67";"LRUV";"FREQY";"Medium";"16P"
"12";"73";12;"73";"LRUV";"GROUP";"Large";"16P"
"13";"16";13;"16";"LRUV";"ALPHA";"Medium";"24P"
"14";"22";14;"22";"LRUV";"FREQY";"Large";"24P"
"15";"44";15;"44";"FIFO";"ALPHA";"Medium";"20P"
"16";"25";16;"25";"LRUV";"ALPHA";"Large";"24P"
"17";"10";17;"10";"LRUV";"GROUP";"Medium";"24P"
"18";"56";18;"56";"FIFO";"GROUP";"Small";"16P"
"19";"17";19;"17";"FIFO";"ALPHA";"Medium";"24P"
"20";"38";20;"38";"FIFO";"GROUP";"Medium";"20P"
"21";"60";21;"60";"RAND";"FREQY";"Small";"16P"
"22";"58";22;"58";"LRUV";"FREQY";"Small";"16P"
"23";"50";23;"50";"FIFO";"FREQY";"Large";"20P"
"24";"7";24;"7";"LRUV";"ALPHA";"Small";"24P"
"25";"30";25;"30";"RAND";"GROUP";"Small";"20P"
"26";"24";26;"24";"RAND";"FREQY";"Large";"24P"
"27";"34";27;"34";"LRUV";"ALPHA";"Small";"20P"
"28";"19";28;"19";"LRUV";"GROUP";"Large";"24P"
"29";"80";29;"80";"FIFO";"ALPHA";"Large";"16P"
"30";"70";30;"70";"LRUV";"ALPHA";"Medium";"16P"
"31";"79";31;"79";"LRUV";"ALPHA";"Large";"16P"
"32";"21";32;"21";"RAND";"GROUP";"Large";"24P"
"33";"62";33;"62";"FIFO";"ALPHA";"Small";"16P"
"34";"43";34;"43";"LRUV";"ALPHA";"Medium";"20P"
"35";"49";35;"49";"LRUV";"FREQY";"Large";"20P"
"36";"64";36;"64";"LRUV";"GROUP";"Medium";"16P"
"37";"5";37;"5";"FIFO";"FREQY";"Small";"24P"
"38";"65";38;"65";"FIFO";"GROUP";"Medium";"16P"
"39";"76";39;"76";"LRUV";"FREQY";"Large";"16P"
"40";"57";40;"57";"RAND";"GROUP";"Small";"16P"
"41";"47";41;"47";"FIFO";"GROUP";"Large";"20P"
"42";"6";42;"6";"RAND";"FREQY";"Small";"24P"
"43";"81";43;"81";"RAND";"ALPHA";"Large";"16P"
"44";"40";44;"40";"LRUV";"FREQY";"Medium";"20P"
"45";"31";45;"31";"LRUV";"FREQY";"Small";"20P"
"46";"32";46;"32";"FIFO";"FREQY";"Small";"20P"
"47";"11";47;"11";"FIFO";"GROUP";"Medium";"24P"
"48";"20";48;"20";"FIFO";"GROUP";"Large";"24P"
"49";"74";49;"74";"FIFO";"GROUP";"Large";"16P"
"50";"51";50;"51";"RAND";"FREQY";"Large";"20P"
"51";"59";51;"59";"FIFO";"FREQY";"Small";"16P"
"52";"48";52;"48";"RAND";"GROUP";"Large";"20P"
"53";"2";53;"2";"FIFO";"GROUP";"Small";"24P"
"54";"53";54;"53";"FIFO";"ALPHA";"Large";"20P"
"55";"29";55;"29";"FIFO";"GROUP";"Small";"20P"
"56";"68";56;"68";"FIFO";"FREQY";"Medium";"16P"
"57";"28";57;"28";"LRUV";"GROUP";"Small";"20P"
"58";"63";58;"63";"RAND";"ALPHA";"Small";"16P"
"59";"71";59;"71";"FIFO";"ALPHA";"Medium";"16P"
"60";"42";60;"42";"RAND";"FREQY";"Medium";"20P"
"61";"1";61;"1";"LRUV";"GROUP";"Small";"24P"
"62";"8";62;"8";"FIFO";"ALPHA";"Small";"24P"
"63";"55";63;"55";"LRUV";"GROUP";"Small";"16P"
"64";"4";64;"4";"LRUV";"FREQY";"Small";"24P"
"65";"12";65;"12";"RAND";"GROUP";"Medium";"24P"
"66";"9";66;"9";"RAND";"ALPHA";"Small";"24P"
"67";"72";67;"72";"RAND";"ALPHA";"Medium";"16P"
"68";"61";68;"61";"LRUV";"ALPHA";"Small";"16P"
"69";"41";69;"41";"FIFO";"FREQY";"Medium";"20P"
"70";"54";70;"54";"RAND";"ALPHA";"Large";"20P"
"71";"3";71;"3";"RAND";"GROUP";"Small";"24P"
"72";"35";72;"35";"FIFO";"ALPHA";"Small";"20P"
"73";"13";73;"13";"LRUV";"FREQY";"Medium";"24P"
"74";"14";74;"14";"FIFO";"FREQY";"Medium";"24P"
"75";"77";75;"77";"FIFO";"FREQY";"Large";"16P"
"76";"18";76;"18";"RAND";"ALPHA";"Medium";"24P"
"77";"26";77;"26";"FIFO";"ALPHA";"Large";"24P"
"78";"78";78;"78";"RAND";"FREQY";"Large";"16P"
"79";"45";79;"45";"RAND";"ALPHA";"Medium";"20P"
"80";"46";80;"46";"LRUV";"GROUP";"Large";"20P"
"81";"52";81;"52";"LRUV";"ALPHA";"Large";"20P"
