name;run.no.in.std.order;run.no;run.no.std.rp;Algorithm;DeckArrange;Program;MemPages;time;log10time
1;33;1;33;RAND;FREQY;Small;20P;480;2,68124
2;27;2;27;RAND;ALPHA;Large;24P;23134;4,36425
3;15;3;15;RAND;FREQY;Medium;24P;6007;3,77866
4;23;4;23;FIFO;FREQY;Large;24P;13531;4,13133
5;39;5;39;RAND;GROUP;Medium;20P;245;2,38917
6;36;6;36;RAND;ALPHA;Small;20P;839;2,92376
7;37;7;37;LRUV;GROUP;Medium;20P;81;1,90849
8;69;8;69;RAND;FREQY;Medium;16P;237;2,37475
9;75;9;75;RAND;GROUP;Large;16P;265;2,42325
10;66;10;66;RAND;GROUP;Medium;16P;96;1,98227
11;67;11;67;LRUV;FREQY;Medium;16P;112;2,04922
12;73;12;73;LRUV;GROUP;Large;16P;142;2,15229
13;16;13;16;LRUV;ALPHA;Medium;24P;4639;3,66642
14;22;14;22;LRUV;FREQY;Large;24P;10012;4,00052
15;44;15;44;FIFO;ALPHA;Medium;20P;3394;3,53071
16;25;16;25;LRUV;ALPHA;Large;24P;12880;4,10992
17;10;17;10;LRUV;GROUP;Medium;24P;1901;3,27898
18;56;18;56;FIFO;GROUP;Small;16P;49;1,6902
19;17;19;17;FIFO;ALPHA;Medium;24P;5838;3,76626
20;38;20;38;FIFO;GROUP;Medium;20P;134;2,1271
21;60;21;60;RAND;FREQY;Small;16P;111;2,04532
22;58;22;58;LRUV;FREQY;Small;16P;52;1,716
23;50;23;50;FIFO;FREQY;Large;20P;3688;3,56679
24;7;24;7;LRUV;ALPHA;Small;24P;1348;3,12969
25;30;25;30;RAND;GROUP;Small;20P;100;2
26;24;26;24;RAND;FREQY;Large;24P;18602;4,26956
27;34;27;34;LRUV;ALPHA;Small;20P;536;2,72916
28;19;28;19;LRUV;GROUP;Large;24P;5689;3,75504
29;80;29;80;FIFO;ALPHA;Large;16P;1633;3,21299
30;70;30;70;LRUV;ALPHA;Medium;16P;121;2,08279
31;79;31;79;LRUV;ALPHA;Large;16P;980;2,99123
32;21;32;21;RAND;GROUP;Large;24P;12429;4,09444
33;62;33;62;FIFO;ALPHA;Small;16P;85;1,92942
34;43;34;43;LRUV;ALPHA;Medium;20P;1879;3,27393
35;49;35;49;LRUV;FREQY;Large;20P;2625;3,41913
36;64;36;64;LRUV;GROUP;Medium;16P;53;1,72428
37;5;37;5;FIFO;FREQY;Small;24P;1373;3,13767
38;65;38;65;FIFO;GROUP;Medium;16P;100;2
39;76;39;76;LRUV;FREQY;Large;16P;262;2,4183
40;57;40;57;RAND;GROUP;Small;16P;62;1,79239
41;47;41;47;FIFO;GROUP;Large;20P;350;2,54407
42;6;42;6;RAND;FREQY;Small;24P;1782;3,25091
43;81;43;81;RAND;ALPHA;Large;16P;1728;3,23754
44;40;44;40;LRUV;FREQY;Medium;20P;776;2,88986
45;31;45;31;LRUV;FREQY;Small;20P;244;2,38739
46;32;46;32;FIFO;FREQY;Small;20P;390;2,59106
47;11;47;11;FIFO;GROUP;Medium;24P;3152;3,49859
48;20;48;20;FIFO;GROUP;Large;24P;9100;3,95904
49;74;49;74;FIFO;GROUP;Large;16P;233;2,36736
50;51;50;51;RAND;FREQY;Large;20P;4870;3,68753
51;59;51;59;FIFO;FREQY;Small;16P;79;1,89763
52;48;52;48;RAND;GROUP;Large;20P;2012;3,30363
53;2;53;2;FIFO;GROUP;Small;24P;789;2,89708
54;53;54;53;FIFO;ALPHA;Large;20P;10022;4,00095
55;29;55;29;FIFO;GROUP;Small;20P;67;1,82607
56;68;56;68;FIFO;FREQY;Medium;16P;164;2,21484
57;28;57;28;LRUV;GROUP;Small;20P;48;1,68124
58;63;58;63;RAND;ALPHA;Small;16P;111;2,04532
59;71;59;71;FIFO;ALPHA;Medium;16P;206;2,31387
60;42;60;42;RAND;FREQY;Medium;20P;1502;3,17667
61;1;61;1;LRUV;GROUP;Small;24P;538;2,73078
62;8;62;8;FIFO;ALPHA;Small;24P;1693;3,22866
63;55;63;55;LRUV;GROUP;Small;16P;32;1,50515
64;4;64;4;LRUV;FREQY;Small;24P;998;2,99913
65;12;65;12;RAND;GROUP;Medium;24P;2807;3,44824
66;9;66;9;RAND;ALPHA;Small;24P;2190;3,34044
67;72;67;72;RAND;ALPHA;Medium;16P;286;2,45637
68;61;68;61;LRUV;ALPHA;Small;16P;59;1,77085
69;41;69;41;FIFO;FREQY;Medium;20P;1255;3,09864
70;54;70;54;RAND;ALPHA;Large;20P;8834;3,94616
71;3;71;3;RAND;GROUP;Small;24P;1103;3,04258
72;35;72;35;FIFO;ALPHA;Small;20P;814;2,91062
73;13;73;13;LRUV;FREQY;Medium;24P;3621;3,55883
74;14;74;14;FIFO;FREQY;Medium;24P;4912;3,69126
75;77;75;77;FIFO;FREQY;Large;16P;458;2,66087
76;18;76;18;RAND;ALPHA;Medium;24P;7654;3,88389
77;26;77;26;FIFO;ALPHA;Large;24P;17117;4,23343
78;78;78;78;RAND;FREQY;Large;16P;517;2,71349
79;45;79;45;RAND;ALPHA;Medium;20P;3092;3,49024
80;46;80;46;LRUV;GROUP;Large;20P;197;2,29447
81;52;81;52;LRUV;ALPHA;Large;20P;5698;3,75572
