name;run.no.in.std.order;run.no;run.no.std.rp;CycleTime;MoldTemp;HoldPress;CavityThick;InjectSpeed;HoldTime;GateSize;Moisture;PercentRegrind;AmbientTemp;y
1;24;1;24;1;1;1;-1;-1;-1;1;-1;1;1;1,9
2;15;2;15;-1;1;1;1;1;-1;-1;1;-1;1;1,9
3;10;3;10;1;-1;-1;1;1;-1;1;1;-1;1;3,1
4;19;4;19;-1;1;-1;1;-1;1;1;-1;1;1;0,4
5;30;5;30;1;-1;1;1;-1;1;-1;1;1;-1;3,1
6;5;6;5;-1;-1;1;-1;1;1;1;-1;-1;-1;2,5
7;3;7;3;-1;1;-1;1;-1;1;1;-1;-1;-1;0,5
8;20;8;20;1;1;-1;-1;1;1;-1;-1;1;1;4,6
9;9;9;9;-1;-1;-1;-1;-1;-1;-1;1;-1;1;2,1
10;27;10;27;-1;1;-1;1;-1;1;1;1;1;-1;2,8
11;31;11;31;-1;1;1;1;1;-1;-1;1;1;-1;2
12;18;12;18;1;-1;-1;1;1;-1;1;-1;1;1;3
13;29;13;29;-1;-1;1;-1;1;1;1;1;1;-1;0,3
14;21;14;21;-1;-1;1;-1;1;1;1;-1;1;1;2,7
15;6;15;6;1;-1;1;1;-1;1;-1;-1;-1;-1;2,1
16;16;16;16;1;1;1;-1;-1;-1;1;1;-1;1;1,9
17;14;17;14;1;-1;1;1;-1;1;-1;1;-1;1;4,2
18;28;18;28;1;1;-1;-1;1;1;-1;1;1;-1;2,2
19;7;19;7;-1;1;1;1;1;-1;-1;-1;-1;-1;2
20;25;20;25;-1;-1;-1;-1;-1;-1;-1;1;1;-1;2,3
21;12;21;12;1;1;-1;-1;1;1;-1;1;-1;1;1,9
22;13;22;13;-1;-1;1;-1;1;1;1;1;-1;1;0,3
23;26;23;26;1;-1;-1;1;1;-1;1;1;1;-1;3,1
24;22;24;22;1;-1;1;1;-1;1;-1;-1;1;1;1
25;23;25;23;-1;1;1;1;1;-1;-1;-1;1;1;1,8
26;8;26;8;1;1;1;-1;-1;-1;1;-1;-1;-1;2
27;2;27;2;1;-1;-1;1;1;-1;1;-1;-1;-1;3
28;1;28;1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2,2
29;17;29;17;-1;-1;-1;-1;-1;-1;-1;-1;1;1;2,3
30;32;30;32;1;1;1;-1;-1;-1;1;1;1;-1;1,8
31;11;31;11;-1;1;-1;1;-1;1;1;1;-1;1;3,1
32;4;32;4;1;1;-1;-1;1;1;-1;-1;-1;-1;4
