name;run.no.in.std.order;run.no;run.no.std.rp;AirVolume;Valve;Barrel;Angle;Pressure;WadType;Voltage;BallType;e1;e2;e3;y.1;y.2;y.3;y.4
7;1;7;1;198;1;4ft;45;20;paper;9;white;-1;-1;-1;89,75;87,16666667;86,58333333;78,58333333
4;2;4;2;198;1;4ft;45;20;cloth;27;pink;1;1;1;120,25;127,4166667;129,1666667;134,6666667
8;3;8;3;198;1;6ft;60;40;paper;9;white;1;1;1;202,3333333;206,1666667;206,9166667;216,5833333
1;4;1;4;198;2;4ft;60;40;paper;27;pink;-1;-1;1;175,5833333;205,75;209,3333333;224,4166667
9;5;9;5;198;2;6ft;45;40;cloth;9;pink;-1;1;-1;321;332;308,6666667;293,5833333
5;6;5;6;198;2;6ft;60;20;cloth;27;white;1;-1;-1;89,33333333;80,83333333;66,16666667;78,33333333
2;7;2;7;672;1;6ft;60;20;paper;27;pink;-1;1;-1;130,0166667;133,6666667;145,5;151
11;8;11;8;672;1;6ft;45;40;cloth;27;white;-1;-1;1;458,3333333;469,5833333;473,3333333;465,8333333
12;9;12;9;672;1;4ft;60;40;cloth;9;pink;1;-1;-1;433,1666667;381,5833333;377,25;367,8333333
6;10;6;10;672;2;6ft;45;20;paper;9;pink;1;-1;1;188,8333333;155,0833333;158,75;169,25
10;11;10;11;672;2;4ft;60;20;cloth;9;white;-1;1;1;161,5833333;159,5833333;164,75;178,1666667
3;12;3;12;672;2;4ft;45;40;paper;27;white;1;1;-1;400,8333333;415,3333333;439,4166667;442,3333333
