name;run.no.in.std.order;run.no;run.no.std.rp;Algorithm;DeckArrange;Program;MemPages;time;log10time
1;2;1;2;LRUV;GROUP;Medium;20P;81;1,90849
2;13;2;13;RAND;GROUP;Medium;16P;96;1,98227
3;8;3;8;FIFO;GROUP;Large;24P;9100;3,95904
4;7;4;7;FIFO;GROUP;Small;16P;49;1,6902
5;16;5;16;RAND;FREQY;Medium;24P;6007;3,77866
6;10;6;10;FIFO;FREQY;Large;16P;458;2,66087
7;4;7;4;LRUV;FREQY;Large;24P;10012;4,00052
8;12;8;12;FIFO;ALPHA;Medium;24P;5838;3,76626
9;1;9;1;LRUV;GROUP;Small;24P;538;2,73078
10;5;10;5;LRUV;ALPHA;Medium;16P;121;2,08279
11;14;11;14;RAND;GROUP;Large;20P;2012;3,30363
12;3;12;3;LRUV;FREQY;Small;16P;52;1,716
13;6;13;6;LRUV;ALPHA;Large;20P;5698;3,75572
14;9;14;9;FIFO;FREQY;Medium;20P;1255;3,09864
15;11;15;11;FIFO;ALPHA;Small;20P;814;2,91062
16;15;16;15;RAND;FREQY;Small;20P;480;2,68124
17;18;17;18;RAND;ALPHA;Large;16P;1728;3,23754
18;17;18;17;RAND;ALPHA;Small;24P;2190;3,34044
